gene_accession,SOY05u_t2_M_MB,SOY01u_t2_M_MB,SOY04e_t2_M_MB,SOY03e_t2_M_MB,SOY02u_t2_M_MB,SOY05e_t2_M_MB,SOY02e_t2_M_MB,SOY03u_t2_M_MB,SOY01e_t2_M_MB,SOY04u_t2_M_MB
MEG_5283/Drugs/betalactams/Class_A_betalactamases/OXY,0,0,0,0,6,0,0,0,0,0
MEG_3763/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MDTN,0,0,0,0,47,120,0,0,0,0
MEG_7667/Drugs/betalactams/Class_A_betalactamases/VEB,0,19,0,0,0,0,12,0,0,26
MEG_8251/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,799,1776,825,916,2448,1256,1251,2478,1744,3474
MEG_6839/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,3,0,0,0,0,0,0,0
MEG_6631/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULII,8,0,2,2,8,8,6,6,8,38
MEG_4075/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRE,76,0,0,0,0,0,98,0,0,0
MEG_6692/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,2,0,0,2,6,2,0,2
MEG_3245/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,262,390,163,261,603,271,271,467,425,752
MEG_6111/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,63,87,31,70,113,101,62,128,95,164
MEG_7214/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,26,65,34,32,113,60,34,49,43,127
MEG_6651/Metals/Copper_resistance/Copper_resistance_protein/TCRA,0,0,0,0,0,0,0,66,0,60
MEG_7045/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,115,275,138,140,265,235,293,411,293,537
MEG_6682/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,2,0,0,0
MEG_1175/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ARSRM,0,8,0,0,4,0,0,6,8,14
MEG_2842/Drugs/MLS/23S_rRNA_methyltransferases/ERMQ,0,0,0,0,0,0,0,0,42,28
MEG_7313/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,153,252,95,185,326,231,198,312,300,465
MEG_3007/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSB,0,0,10,0,16,20,0,0,20,32
MEG_6743/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,8,2,0,0
MEG_3015/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSB,0,0,0,0,10,0,0,0,0,0
MEG_2723/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRASM,0,0,0,0,56,0,0,0,10,48
MEG_3218/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,66
MEG_1924/Drugs/betalactams/Class_C_betalactamases/CMY,0,0,0,0,0,0,0,0,0,2
MEG_4573/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,0,0,8
MEG_7972/Drugs/betalactams/Class_B_betalactamases/AIM,0,0,0,0,0,0,0,0,0,50
MEG_1195/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_regulator/BAES,10,0,0,0,111,84,0,0,44,31
MEG_7477/Drugs/Glycopeptides/VanD_type_regulator/VANRD,0,0,0,0,0,0,0,26,0,0
MEG_6542/Biocides/Peroxide_resistance/peroxide_resistance_protein/SODA,19,6,14,0,155,65,18,9,43,30
MEG_3923/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXQ,0,0,0,0,38,0,0,0,0,0
MEG_1019/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH3_DPRIME,24,36,22,131,109,34,43,37,46,56
MEG_703/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ADER,0,0,0,0,0,0,0,0,0,34
MEG_1211/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/BCR,0,0,2,0,37,30,0,0,32,14
MEG_2672/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DSBA,0,0,0,0,14,2,0,0,0,0
MEG_680/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ADED,0,0,0,0,0,0,0,0,0,62
MEG_6998/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TET44,0,0,0,0,0,0,0,0,0,110
MEG_3252/Biocides/Multi_biocide_resistance/Multi_biocide_RND_efflux_pump/HASF,44,0,31,0,237,93,38,74,0,179
MEG_8676/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/RPSE/RequiresSNPConfirmation,0,0,0,0,3,0,10,18,0,34
MEG_8247/Drugs/Multi_drug_resistance/Multi_drug_RND_efflux_pumps/MEXC1,32,0,0,0,82,0,0,0,0,126
MEG_3220/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,38,0,16,0,108,48,36,87,142,114
MEG_6915/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_7504/Drugs/Glycopeptides/VanD_type_regulator/VANSD,0,0,0,0,0,0,0,72,0,114
MEG_7069/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETD,2,0,14,24,26,24,0,44,2,70
MEG_7305/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,79,262,156,89,533,232,229,315,176,544
MEG_6015/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRE,0,0,0,0,6,0,2,0,0,8
MEG_3917/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXK,0,0,0,0,212,0,0,0,0,0
MEG_3552/Drugs/betalactams/Class_A_betalactamases/LEN,0,0,0,0,2,0,0,0,0,0
MEG_729/Drugs/betalactams/Penicillin_binding_protein/AMPH,2,0,8,0,65,129,10,0,0,39
MEG_3753/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDTG,0,0,4,0,45,72,0,4,0,28
MEG_2677/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DSBA,0,0,2,0,7,2,0,0,0,0
MEG_6144/Drugs/Aminoglycosides/Aminoglycoside_resistant_30S_ribosomal_protein_S12/RPSL/RequiresSNPConfirmation,45,74,31,85,216,68,69,133,62,221
MEG_3449/Biocides/Multi_biocide_resistance/Multi_biocide_RND_efflux_pump/KEXD,0,0,0,0,99,0,0,0,0,0
MEG_342/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC6_PRIME,0,0,10,0,0,0,0,0,8,8
MEG_1046/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH3_DPRIME,9,15,11,70,56,9,13,4,18,26
MEG_3977/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,11316,15710,11223,9505,22922,15804,12583,27095,24463,40863
MEG_7148/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,41,50,40,63,111,85,58,103,104,138
MEG_6165/Drugs/Nucleosides/Streptothricin_acetyltransferase/SAT,0,0,0,0,14,0,0,22,0,0
MEG_7186/Drugs/Tetracyclines/Tetracycline_transcriptional_repressor/TETR/RequiresSNPConfirmation,0,60,0,0,12,6,6,12,0,1
MEG_6961/Metals/Tellurium_resistance/Tellurium_resistance_protein/TERZ,0,0,0,0,0,0,34,42,24,38
MEG_4335/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,4,0,4,4,52,26,2,12,0,0
MEG_5353/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,8,99,49,20,34,234,79
MEG_6763/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,2,0,0,2
MEG_2137/Drugs/betalactams/Class_A_betalactamases/CSP,0,0,0,34,0,0,0,0,50,94
MEG_7010/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TET57,0,0,0,0,2,14,0,5,0,0
MEG_8260/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRG,0,0,0,0,0,0,0,0,0,42
MEG_7849/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ZINT,0,0,0,0,44,74,16,0,0,0
MEG_677/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ADEA,0,0,0,0,0,0,0,0,0,36
MEG_4666/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,12,0,0,0,0
MEG_6/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,4083,5864,4337,3679,6265,5130,4793,9742,6164,14940
MEG_7126/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,69,90,77,54,206,123,91,148,226,280
MEG_1614/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,3,7,0,0,0,3,5,2,2
MEG_7025/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,42,94,54,51,55,48,37,55,0,155
MEG_7/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,3739,4978,2779,3565,9253,4914,4333,7209,6201,11601
MEG_4298/Biocides/Multi_biocide_resistance/Multi_biocide_RND_efflux_pump/OPRJ,0,0,0,0,74,0,0,0,0,59
MEG_2912/Drugs/Phenicol/Phenicol_resistance_MFS_efflux_pumps/FLOR,0,102,0,0,0,0,17,7,0,12
MEG_5329/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,0,0,46,0,0
MEG_2721/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRA,0,0,0,0,47,67,14,0,0,54
MEG_329/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC6_PRIME,0,0,0,0,1,0,0,0,0,0
MEG_2451/Metals/Multi_metal_resistance/Multi_metal_RND_efflux_pumps/CUSF,0,0,0,0,5,27,0,0,0,8
MEG_6879/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,12,2,0,2
MEG_5350/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,22,0,0,0,0,0,0,0,0
MEG_6730/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,2,0,0,2,0,2,0,2
MEG_5303/Drugs/betalactams/Class_A_betalactamases/OXY,0,0,0,0,6,0,0,0,0,0
MEG_4843/Drugs/betalactams/Class_D_betalactamases/OXA,20,18,0,16,0,24,18,24,24,42
MEG_7854/Metals/Zinc_resistance/Zinc_resistance_regulator/ZNTR,2,0,0,0,48,82,2,2,0,12
MEG_3144/Drugs/Fosfomycin/Fosfomycin_target_mutation/GLPT/RequiresSNPConfirmation,16,18,21,14,465,272,43,52,422,191
MEG_6960/Metals/Tellurium_resistance/Tellurium_resistance_protein/TERW,0,0,0,0,0,6,8,0,0,56
MEG_1612/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,2,0,0,0,0,2,0,0,0
MEG_4130/Drugs/Mycobacterium_tuberculosis_specific_Drug/Isoniazid_resistant_mutant/NDH/RequiresSNPConfirmation,0,0,0,0,68,0,0,0,0,0
MEG_4070/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRA,0,0,0,0,0,0,0,0,0,92
MEG_400/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRA,33,0,45,0,350,76,27,123,264,82
MEG_3253/Biocides/Acid_resistance/Acid_resistance_protein/HDEA,0,0,0,0,29,28,6,0,0,0
MEG_8153/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,0,0,65,68,187,0,0,146,0,0
MEG_487/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,11,0,0,0,0
MEG_442/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,1,0,0,0,0,0
MEG_7474/Drugs/Glycopeptides/VanC_type_regulator/VANRC,0,0,0,0,34,0,0,30,0,42
MEG_5787/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/PITA,5,3,40,23,406,298,29,97,145,154
MEG_1619/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,3,0,0,0,0,0,2,6,6
MEG_4348/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,6,32,16,0,12,0,14
MEG_8143/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GRLB/RequiresSNPConfirmation,0,20,0,0,23,15,0,0,33,69
MEG_7107/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,31,37,23,13,71,25,30,33,55,55
MEG_7130/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,29,29,9,33,54,24,17,33,50,36
MEG_8092/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSM,0,0,0,0,0,0,0,0,0,10
MEG_3874/Metals/Mercury_resistance/Mercury_resistance_protein/MERP,1,0,0,1,0,7,0,0,0,0
MEG_1059/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH3_PRIME,0,0,0,0,0,0,0,0,10,14
MEG_6862/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,2,0,0,0,0,0,0,0
MEG_5341/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,187,101,57,104,100,224
MEG_2999/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,0,0,2,0,46,40,6,7,0,8
MEG_6807/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_1118/Drugs/Multi_drug_resistance/MDR_regulator/ARLS,0,0,0,0,0,0,0,0,32,92
MEG_5405/Drugs/betalactams/Penicillin_binding_protein/PBP2/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,24
MEG_5334/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,60,41,97,24,667,210,59,102,157,276
MEG_7330/Drugs/Fosfomycin/Fosfomycin_target_mutation/UHPT/RequiresSNPConfirmation,16,12,21,30,622,330,34,52,107,226
MEG_7109/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,70,61,31,52,154,91,83,92,115,156
MEG_473/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,2,0,0,0,0,0
MEG_7105/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,139,172,127,137,378,246,142,262,326,415
MEG_2649/Drugs/betalactams/Class_B_betalactamases/DIM,0,0,0,0,38,22,0,0,0,0
MEG_3947/Metals/Multi_metal_resistance/Multi_metal_resistance_regulator/MGTA,0,0,28,38,307,235,30,68,0,153
MEG_2878/Biocides/Phenolic_compound_resistance/Phenolic_resistance_protein/FABV,0,0,0,0,14,0,0,22,0,114
MEG_6742/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,4,0,0,0
MEG_17/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC2_PRIME,0,0,0,0,0,0,0,0,28,72
MEG_4292/Drugs/Multi_drug_resistance/Multi_drug_RND_efflux_pumps/OPMB,0,0,0,0,106,0,0,0,0,0
MEG_4122/Metals/Multi_metal_resistance/Multi_metal_MFS_efflux_regulator/NCRB,0,0,0,0,0,8,0,0,0,0
MEG_3762/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDTM,0,0,0,0,12,48,0,0,0,20
MEG_1630/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,2,2,0,0,0,4,9,4,2
MEG_7219/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,4,12,8,2,11,7,10,13,6,25
MEG_2046/Metals/Copper_resistance/Copper_resistance_protein/COPC,0,0,0,0,0,0,0,0,14,0
MEG_7688/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/VGAB,0,0,74,72,148,0,0,172,116,238
MEG_2136/Metals/Copper_resistance/Copper_resistance_regulator/CSOR,4,0,0,0,0,0,4,0,8,0
MEG_3803/Drugs/betalactams/Penicillin_binding_protein_regulator/MECI,0,0,0,0,0,0,0,6,0,0
MEG_3999/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/MNTP,2,0,2,0,46,84,4,0,0,15
MEG_2793/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,2,2,6,0,38,7,6,8,8
MEG_3758/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MATE_efflux_pumps/MDTK,0,0,12,0,73,98,0,0,52,104
MEG_4364/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,35,10,0,0,0,13
MEG_5987/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRB,0,0,0,0,0,6,0,0,0,0
MEG_2441/Metals/Copper_resistance/Copper_resistance_protein/CUEP,0,0,0,0,0,8,0,0,0,0
MEG_4338/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,16,0,0,0,0,0
MEG_3998/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/MNTH,40,22,16,0,212,208,29,69,73,151
MEG_6868/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,2,0,0,0
