gene_accession,CAC10u_t2_M_AB,CAC09e_t2_M_AB,CAC10e_t2_M_AB,CAC08e_t2_M_MB,CAC08u_t2_M_MB,CAC07e_t2_M_MB,CAC06u_t2_M_AB,CAC09u_t2_M_AB,CAC07u_t2_M_MB,CAC06e_t2_M_AB
MEG_421/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,8,0,0,0,0
MEG_8069/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRA,12,0,0,0,0,0,0,0,0,0
MEG_2088/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORB,0,28,23,9,0,8,0,0,29,0
MEG_7819/Biocides/Multi-biocide_resistance/Multi-biocide_resistance_regulator/YDEO,0,6,0,5,0,2,0,0,9,0
MEG_6880/Drugs/betalactams/Class_A_betalactamases/TEM,4,0,0,2,2,0,0,0,0,0
MEG_2132/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CRP,145,139,153,52,81,124,91,43,73,74
MEG_795/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,2,0,0,0,0,0
MEG_7119/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,10,9,15,15,16,19,6,6,11,0
MEG_1014/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH2-DPRIME,0,0,0,0,0,20,38,0,0,0
MEG_2444/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/CUID,0,0,0,12,0,0,0,0,0,0
MEG_849/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,0,1,0,0,0,0
MEG_3271/Drugs/Multi-drug_resistance/Multi-drug_RND_efflux_pumps/HNS,0,9,12,8,4,7,4,0,21,28
MEG_6674/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_6165/Drugs/Nucleosides/Streptothricin_acetyltransferase/SAT,0,0,0,0,0,10,0,0,0,0
MEG_2899/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_ABC_efflux_pumps/FETB,0,20,8,16,0,0,0,0,24,0
MEG_3129/Drugs/betalactams/Class_A_betalactamases/GES,0,19,3,7,0,0,0,28,2,0
MEG_256/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,18,0,0,0,0,0
MEG_1652/Biocides/Biguanide_resistance/Biguanide_cation_efflux/CEPAB,0,0,10,8,0,8,0,0,28,11
MEG_3238/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,0,0,25,32,0,31,18,0,40,52
MEG_2999/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,0,0,0,0,0,0,0,0,14,2
MEG_7173/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,12,18,30,17,34,14,8,20,20,6
MEG_6950/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,2,0,0,0,0
MEG_8070/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRB/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,12
MEG_1989/Drugs/betalactams/Class_C_betalactamases/CMY,0,0,0,6,0,0,0,0,0,0
MEG_6134/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,0,0,30,0,0,0,0,0
MEG_6655/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/TEHA,0,2,0,4,0,2,0,0,10,0
MEG_2723/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRASM,0,0,0,0,0,0,6,0,0,0
MEG_3249/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,42,42,70,42,78,0,0,0,46,46
MEG_6135/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,43,34,31,51,44,67,0,29,63,72
MEG_5/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,458,477,738,514,749,832,859,532,653,656
MEG_6499/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/SILA,0,0,26,40,0,23,0,0,38,0
MEG_3291/Biocides/Acetate_resistance/Acetate_resistance_protein/ICLR,0,0,0,11,1,2,0,0,11,0
MEG_1179/Drugs/Multi-drug_resistance/Multi-drug_RND_efflux_regulator/ASMA,0,0,0,18,0,0,0,0,0,0
MEG_1210/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/BCR,0,3,0,9,0,2,0,0,14,0
MEG_6844/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_7498/Drugs/Glycopeptides/VanC-type_regulator/VANSC,0,0,48,0,0,0,42,0,44,0
MEG_4282/Drugs/betalactams/Mutant_porin_proteins/OMP36/RequiresSNPConfirmation,0,0,2,0,0,0,0,0,0,0
MEG_2695/Drugs/betalactams/Class_B_betalactamases/EBR,0,0,0,0,0,12,0,0,0,0
MEG_6701/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,2,0,0,0,0
MEG_6101/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,59,74,62,41,75,115,88,70,41,51
MEG_3865/Metals/Mercury_resistance/Mercury_resistance_regulator/MERD,0,0,0,0,0,0,0,0,2,0
MEG_3605/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUA,0,0,0,0,6,0,0,0,0,0
MEG_4792/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,18,0,0,0,0,0
MEG_6710/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,2,0,0
MEG_6587/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,8,0,0,0,0,0,4,0,0
MEG_3290/Biocides/Acetate_resistance/Acetate_resistance_protein/ICLR,0,6,0,11,0,0,2,0,11,2
MEG_7308/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,0,12,10,9,27,8,12,23,25,23
MEG_2707/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_ABC_efflux_pumps/EFRB,0,0,0,0,0,0,16,0,0,0
MEG_7482/Drugs/Glycopeptides/VanL-type_regulator/VANRI,0,0,0,0,0,0,0,0,36,0
MEG_6839/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,0,0,0,0
MEG_450/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,0,0,0,2,0
MEG_252/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,6,0,0,0,0,0
MEG_7856/Metals/Zinc_resistance/Zinc_resistance_protein/ZNUA,0,6,10,17,0,0,0,0,32,20
MEG_7094/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETL,31,50,73,168,104,290,8,110,227,77
MEG_1281/Drugs/betalactams/Class_C_betalactamases/BLAEC,0,0,0,4,0,0,0,0,0,0
MEG_6163/Drugs/Nucleosides/Streptothricin_acetyltransferase/SAT,0,0,0,0,9,0,0,0,18,0
MEG_7865/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/ZUPT,0,2,0,2,0,0,8,0,15,0
MEG_6/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,5740,4905,5258,3427,5449,6706,4526,5007,3556,3592
MEG_7070/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETD,932,916,1079,584,985,785,757,691,688,585
MEG_393/Drugs/betalactams/Class_C_betalactamases/ACC,0,0,0,0,0,0,0,0,6,0
MEG_5388/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,64,0,86,0,0,113,34,0,30,0
MEG_6597/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,2,0,0,0,2,0,0
MEG_6052/Metals/Chromium_resistance/Chromium_resistance_protein/RECG,0,0,0,0,0,4,0,0,0,0
MEG_3606/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUA,0,0,0,0,0,0,0,0,2,1
MEG_11/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,447,500,721,479,632,896,816,598,612,688
MEG_893/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,3,0,0,0,2,0
MEG_6799/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,0,0,0
MEG_3278/Metals/Copper_resistance/Copper_resistance_protein/HPCOPP,10,10,16,10,0,0,0,0,12,8
MEG_1579/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,0,0,0,0,1,0,0,0,15
MEG_7841/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/YODB,0,4,0,3,0,1,0,0,0,0
MEG_6050/Metals/Multi-metal_resistance/Multi-metal_resistance_regulator/RCNR,0,0,0,0,0,3,0,0,12,0
MEG_5783/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_ABC_efflux_regulator/PHOB/RequiresSNPConfirmation,0,8,1,0,0,5,0,0,4,7
MEG_8288/Drugs/betalactams/Mutant_porin_proteins/OMPA,0,16,29,30,0,41,16,0,47,106
MEG_805/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,2,0,0,0,0,0
MEG_3803/Drugs/betalactams/Penicillin_binding_protein_regulator/MECI,0,0,0,0,0,0,6,0,0,0
MEG_7135/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,27,41,54,42,101,61,22,42,56,10
MEG_12/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,166,161,197,142,239,224,234,249,234,209
MEG_7109/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,42,38,64,62,50,72,35,37,52,8
MEG_8065/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRA,0,0,0,0,0,0,12,0,0,0
MEG_7128/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,24,30,34,25,48,52,24,39,53,12
MEG_7229/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,32,40,79,63,73,71,33,32,67,24
MEG_6949/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,2,0,0,0,0
MEG_3622/Biocides/Acetate_resistance/Acetate_resistance_protein/LPDT,0,44,0,30,2,18,0,0,68,13
MEG_2115/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,14,26,30,17,0,16,15,0,25,51
MEG_4281/Drugs/betalactams/Mutant_porin_proteins/OMP36/RequiresSNPConfirmation,0,0,4,0,0,0,0,0,3,0
MEG_6503/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/SILE,0,0,0,2,0,3,0,0,0,0
MEG_3749/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/MDTC,0,48,44,46,0,33,0,0,97,44
MEG_5390/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,0,0,22,21,0,28,25
MEG_2875/Biocides/Phenolic_compound_resistance/Phenolic_resistance_protein/FABI,0,12,6,20,0,2,0,0,22,14
MEG_7121/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,74,113,152,136,237,246,43,68,179,22
MEG_7849/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ZINT,0,4,0,5,4,0,0,0,7,4
MEG_7131/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,59,27,102,52,69,67,76,83,61,4
MEG_7976/Drugs/Lipopeptides/Colistin_phosphoethanolamine_transferase/ARNT,0,0,43,15,0,16,28,0,30,24
MEG_7821/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/YFEA,18,4,0,18,0,47,14,14,0,10
MEG_5372/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,0,61,0,26,0,0,0
MEG_6923/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,0,0,0,0,0
MEG_5325/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,11
MEG_955/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,53,10,3,2,0,0,28,0,0
MEG_3065/Drugs/Fusidic_acid/Fusidic_acid-resistant_mutation/FUSA/RequiresSNPConfirmation,380,303,436,285,420,472,393,282,343,315
MEG_2722/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRA,0,11,7,14,0,7,8,0,22,0
MEG_6793/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,0,0,0,0,0
MEG_8674/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB,461,531,1017,810,823,524,894,664,664,901
MEG_3216/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,127,0,0,0,73,0,73,55,0
MEG_2909/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/FIEF,0,9,12,8,5,4,0,0,19,13
MEG_1490/Drugs/Cationic_antimicrobial_peptides/Cationic_peptide-resistant_16S_ribosomal_subunit_protein/CAP16S/RequiresSNPConfirmation,2565,1815,2379,1651,2333,2841,2044,1938,1612,1851
MEG_379/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/ABES,4,0,0,0,0,0,0,0,0,0
MEG_6091/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,0,0,50,0,0,0,0,0
MEG_7470/Drugs/Glycopeptides/VanC-type_regulator/VANRC,0,0,0,0,22,12,0,16,0,0
MEG_6627/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,19,20,10,5,93,48,11,30,24,11
MEG_3621/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUP,0,38,0,0,0,0,0,8,0,0
MEG_2762/Drugs/MLS/23S_rRNA_methyltransferases/ERM,0,0,0,0,0,0,0,0,16,0
MEG_3202/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,44,44,0,0,0,0
MEG_3193/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,72,0,0,0,0,60,0,0,50
MEG_3197/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,39,0,0,0,0,0
MEG_3802/Drugs/betalactams/Penicillin_binding_protein_regulator/MECI,0,0,0,0,0,0,6,0,0,0
MEG_952/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,5,4,0,2,0,0,3,1,0
MEG_7112/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,2,3,17,8,17,14,4,8,12,2
MEG_6588/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,2,2,0,0,0,0,0,3,0,0
MEG_10/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,314,245,393,195,355,427,516,338,360,464
MEG_5772/Biocides/Peroxide_resistance/peroxide_resistance_regulator/PERR,14,0,0,0,0,8,8,6,0,10
MEG_2990/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,0,0,0,6,6,0,0,0,28,0
MEG_2739/Drugs/Cationic_antimicrobial_peptides/Lipid_A_modification/EPTA,0,26,30,60,0,14,0,0,52,0
MEG_7025/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,0,12,59,0,14,0,31,0
MEG_6167/Drugs/Nucleosides/Streptothricin_acetyltransferase/SAT,0,0,0,0,13,0,0,0,11,0
MEG_1153/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSBM,0,4,4,19,0,0,0,0,17,0
MEG_1165/Metals/Arsenic_resistance/Arsenic_resistance_protein/ARSD,0,0,0,0,0,0,0,0,0,2
MEG_5400/Drugs/betalactams/Penicillin_binding_protein/PBP2,0,53,54,44,0,84,0,0,92,53
MEG_7903/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,0,0,0,3,0
MEG_4355/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,4,0,0,0,0,0,6,0
MEG_6768/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,0,0,0
MEG_7044/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,251,227,261,136,209,193,141,199,145,106
MEG_7813/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/YCHH,0,0,0,3,0,0,0,0,8,0
MEG_5846/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACG,0,0,0,0,8,6,0,0,0,0
MEG_8447/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,5,14,41,26,0,0,13
MEG_6104/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,0,64,0,55,0,0,0,0
MEG_5829/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACEDELTA1,0,10,0,1,0,0,0,7,0,0
MEG_2734/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_regulator/EMRR,0,7,6,12,4,9,0,0,21,9
MEG_7246/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETY,7,0,0,0,2,49,0,15,0,10
MEG_3141/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/GLPF,0,0,0,14,0,1,0,0,14,0
MEG_6664/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,6,2,0,0,0,0,0
MEG_7328/Drugs/Cationic_antimicrobial_peptides/Lipid_A_modification/UGD,0,22,0,11,0,10,19,0,33,0
