gene_accession,APP01u_t2_M_QC,APP05e_t2_M_BC,APP02u_t2_M_QC,APP03u_t2_M_QC,APP03e_t2_M_QC,APP02e_t2_M_QC,APP05u_t2_M_BC,APP04u_t2_M_BC,APP04e_t2_M_BC,APP01e_t2_M_QC
MEG_2654/Metals/Copper_resistance/Copper_resistance_protein/DNAK,201,192,179,228,187,94,74,88,184,163
MEG_3981/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,4091,5079,6246,6514,7142,3976,6570,6794,3827,5768
MEG_8716/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,104,149,97,144,113,85,78,87,246,0
MEG_1190/Drugs/Bacitracin/Undecaprenyl_pyrophosphate_phosphatase/BACA,0,0,3,4,0,0,5,0,0,0
MEG_4206/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/NORA,0,0,0,0,0,0,0,8,0,0
MEG_6997/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TET44,0,0,0,10,0,0,0,0,0,0
MEG_7862/Metals/Zinc_resistance/Zinc_resistance_regulator/ZRAR,0,0,0,0,0,6,0,0,0,0
MEG_5342/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,16,10,0,0,0,0,0,0
MEG_4099/Drugs/betalactams/Class_B_betalactamases/MUS,0,0,0,0,0,0,20,0,0,0
MEG_6516/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_ABC_efflux_pumps/SITD,0,0,0,56,0,0,0,0,0,0
MEG_7683/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/VGA,0,34,26,0,0,0,22,28,0,0
MEG_6951/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_4183/Drugs/Metronidazole/nim_nitroimidazole_reductase/NIME,0,0,10,0,0,0,0,0,0,0
MEG_4748/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,62,0,0,84,58,72,104,0
MEG_7536/Drugs/Glycopeptides/VanL_type_resistance_protein/VANTRL,0,0,48,0,0,0,0,0,0,0
MEG_7167/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,10,8,4,18,22,4,14,2,12,8
MEG_7215/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,132,130,108,175,185,94,74,45,118,111
MEG_4210/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/NORB,0,94,72,82,0,0,48,48,0,0
MEG_413/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ACRR/RequiresSNPConfirmation,0,0,14,0,0,0,0,0,0,0
MEG_5825/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACC,0,0,6,0,0,0,10,6,0,0
MEG_4026/Drugs/MLS/Macrolide_phosphotransferases/MPH,0,52,30,0,34,0,0,28,0,0
MEG_3612/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUE,0,0,14,0,0,0,14,14,0,6
MEG_3221/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,40,0,0,0,0,0
MEG_4204/Biocides/Paraquat_resistance/Paraquat_resistance_protein/NMPC,0,0,16,0,0,0,0,0,0,0
MEG_270/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC6_PRIME,0,0,0,0,0,0,8,0,0,0
MEG_7047/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,110,141,142,168,195,115,87,68,253,162
MEG_3590/Drugs/Lipopeptides/Daptomycin_resistant_mutant/LIAFSR/RequiresSNPConfirmation,0,64,0,0,0,0,24,0,0,0
MEG_1045/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH3_DPRIME,12,46,25,42,16,9,8,10,24,15
MEG_5750/Drugs/betalactams/Class_B_betalactamases/PEDO,0,0,10,0,0,0,0,0,0,0
MEG_1686/Drugs/betalactams/Class_A_betalactamases/CFX,0,0,0,0,0,0,0,12,0,0
MEG_2787/Drugs/MLS/23S_rRNA_methyltransferases/ERMA,0,0,0,0,0,18,0,8,0,0
MEG_6639/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULIII,0,0,54,0,0,0,42,30,0,0
MEG_7124/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,57,119,82,107,114,66,50,54,142,84
MEG_8077/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_ABC_efflux_pumps/EFRA,0,143,88,81,0,0,76,0,406,0
MEG_1180/Drugs/Multi_drug_resistance/Multi_drug_RND_efflux_regulator/ASMA,0,0,0,0,0,12,0,0,0,0
MEG_8083/Drugs/MLS/23S_rRNA_methyltransferases/ERM52,0,0,10,0,0,0,0,0,0,0
MEG_1640/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MATE_efflux_pumps/CDEA,0,0,0,0,0,0,16,26,0,0
MEG_1726/Drugs/Multi_drug_resistance/MDR_23S_ribosomal_RNA_methyltransferase/CLBA,0,0,0,0,0,0,24,0,0,0
MEG_7884/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ACRR/RequiresSNPConfirmation,0,0,0,2,0,0,0,0,0,0
MEG_5972/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRB,0,0,0,2,0,0,0,0,0,0
MEG_7107/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,30,52,29,55,47,27,21,25,97,57
MEG_8075/Drugs/betalactams/Class_B_betalactamases/EBR,0,0,0,0,0,0,10,0,0,0
MEG_7559/Drugs/Glycopeptides/VanB_type_resistance_protein/VANXB,0,0,0,0,0,0,0,20,0,0
MEG_2626/Drugs/Trimethoprim/Dihydrofolate_reductase/DHFR/RequiresSNPConfirmation,0,0,0,0,0,0,0,10,0,0
MEG_7108/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,46,90,89,130,125,53,81,31,168,87
MEG_4087/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_regulator/MTRR/RequiresSNPConfirmation,0,7,0,0,0,0,0,0,0,0
MEG_7817/Biocides/Paraquat_resistance/Paraquat_efflux_pump/YDDG,0,0,30,0,0,0,34,24,0,0
MEG_6839/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_7227/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,5,6,13,3,6,9,5,0,6,0
MEG_7056/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,43,37,12,21,7,14,5,0,18,25
MEG_5975/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRB,0,0,0,0,0,0,0,0,2,0
MEG_7110/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,45,97,81,140,108,66,60,18,243,81
MEG_6795/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,0,0,0,0
MEG_7480/Drugs/Glycopeptides/VanE_type_regulator/VANRE,0,0,34,0,28,0,60,38,0,0
MEG_3983/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,3004,2313,2309,3554,3466,2857,2276,2343,4902,3541
MEG_7308/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,33,53,0,38,26,0,0,38,30,17
MEG_3749/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/MDTC,0,0,34,23,0,0,0,0,0,0
MEG_1709/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_regulator/CHRB,0,0,0,0,0,0,12,0,0,0
MEG_6932/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,0,0,0,0
MEG_1176/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ARSRM,0,0,2,0,0,0,0,0,0,0
MEG_3196/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,74,0,0,0,61,44,231,72
MEG_3441/Drugs/betalactams/Class_B_betalactamases/JOHN,0,0,30,0,16,0,32,0,0,10
MEG_271/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC6_PRIME,0,0,0,0,0,6,0,0,0,0
MEG_3421/Drugs/betalactams/Class_B_betalactamases/IND,0,0,0,12,0,0,0,0,0,0
MEG_5390/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,13,54,17,25,16,20,0,0,61,0
MEG_3201/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,78,36,29,24,0,0,43,0
MEG_7245/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETY,0,35,20,52,26,20,20,18,24,45
MEG_1170/Metals/Arsenic_resistance/Arsenic_resistance_protein/ARSP,0,46,72,0,0,0,58,46,0,0
MEG_4061/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/MSBA,0,0,50,44,0,0,0,0,0,0
MEG_1983/Drugs/betalactams/Class_C_betalactamases/CMY,0,6,0,0,0,0,0,0,0,0
MEG_3220/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,37,0,0,0,0,0,0,0
MEG_412/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ACRR/RequiresSNPConfirmation,0,0,24,0,0,0,0,20,0,0
MEG_2444/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/CUID,0,6,0,0,0,0,0,0,0,0
MEG_7134/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,57,126,101,140,176,87,102,58,221,131
MEG_2782/Drugs/MLS/23S_rRNA_methyltransferases/ERM44,0,0,0,0,0,0,10,0,0,0
MEG_7210/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,78,105,76,92,122,72,45,24,110,84
MEG_3597/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/LMRD,0,96,90,100,0,72,68,76,0,60
MEG_3244/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,56,121,98,101,90,49,0,54,182,0
MEG_6663/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,0,0,0,0
MEG_1003/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT9,0,0,0,8,0,0,14,0,0,0
MEG_7331/Drugs/Glycopeptides/VanA_type_resistance_protein/VAN,0,0,0,0,0,0,6,0,0,0
MEG_4010/Metals/Multi_metal_resistance/Multi_metal_ABC_efflux_pumps/MODC,0,0,0,0,0,6,0,0,0,0
MEG_8246/Drugs/MLS/MLS_resistance_MFS_efflux_pumps/MEFJ,0,0,0,0,0,0,0,18,0,0
MEG_1014/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH2_DPRIME,0,0,12,0,18,0,0,0,0,0
MEG_3386/Drugs/betalactams/Class_B_betalactamases/IMP,0,0,0,0,0,0,12,0,0,0
MEG_2804/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,0,0,0,2,0,3,0,8,2
MEG_8093/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSM,0,0,0,0,0,0,0,12,0,0
MEG_6090/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,0,21,0,0,12,19,31,0
MEG_7086/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETH,64,15,44,145,138,20,89,77,38,18
MEG_6104/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,172,213,184,0,0,0,0,0,0
MEG_2995/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,0,0,4,0,0,0,0,0,0,0
MEG_1322/Drugs/betalactams/Class_A_betalactamases/BLAZ,0,0,0,0,0,0,16,0,0,0
MEG_8646/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACD,0,0,28,0,0,0,0,0,0,0
MEG_4737/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,10,0,0,0
MEG_7123/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,31,63,45,85,66,41,42,18,110,55
MEG_998/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT6,0,54,46,50,76,42,30,54,52,0
MEG_3987/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,215,356,349,518,797,347,321,336,694,543
MEG_6526/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SME,0,0,56,0,0,0,0,0,0,0
MEG_6013/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRD,0,0,0,0,0,10,0,0,0,0
MEG_7525/Drugs/Glycopeptides/VanC_type_resistance_protein/VANTC,0,0,120,152,0,0,110,112,0,176
MEG_6145/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/RRSA/RequiresSNPConfirmation,1456,1961,1415,2194,2038,1161,1213,896,3525,1544
MEG_7204/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_regulator/TETU,0,0,0,4,0,0,0,0,0,0
MEG_7062/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,48,30,15,29,27,21,12,0,22,25
MEG_3758/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MATE_efflux_pumps/MDTK,0,0,34,0,0,0,0,0,0,0
MEG_2036/Metals/Copper_resistance/Copper_resistance_protein/COPB,0,0,0,0,0,16,0,0,0,0
MEG_5328/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,98,0,0,62,111,78,0,0
MEG_3737/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDFA,0,8,0,0,0,0,0,4,0,0
MEG_2138/Drugs/betalactams/Class_A_betalactamases/CSP,0,0,38,0,0,0,32,38,38,0
MEG_12/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,263,324,299,384,394,295,224,209,428,310
MEG_6089/Drugs/Rifampin/Rifampin_phosphotransferase/RPH,0,0,0,0,0,0,0,0,110,0
MEG_2795/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,0,0,0,0,0,0,0,2,0
MEG_6118/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,405,642,501,716,745,395,429,228,2653,345
MEG_990/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT6,20,36,46,30,34,48,16,42,0,42
MEG_4220/Metals/Nickel_resistance/Nickel_resistance_regulator/NRSR,0,0,0,0,0,0,14,0,0,0
MEG_2073/Metals/Copper_resistance/Copper_resistance_regulator/COPR,0,0,8,0,0,0,0,0,0,0
MEG_7085/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETH,75,3,31,143,99,26,66,93,51,25
MEG_1155/Metals/Arsenic_resistance/Arsenic_resistance_protein/ARSC,0,0,14,0,0,0,0,0,0,0
MEG_7853/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ZNTA,0,0,0,0,0,0,0,0,14,0
MEG_88/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC6_PRIME,0,20,40,0,0,0,34,52,0,0
MEG_6131/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,150,225,175,301,313,152,193,140,416,191
MEG_377/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/ABES,0,0,0,0,0,0,4,0,0,0
MEG_8686/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/RSMA,10,20,14,20,20,4,6,6,10,12
MEG_6975/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TET33,0,0,0,0,0,2,0,0,0,0
MEG_1193/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_regulator/BAES,0,0,0,0,0,0,0,0,25,0
MEG_2137/Drugs/betalactams/Class_A_betalactamases/CSP,0,68,44,0,0,0,40,24,68,0
MEG_8688/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/SALB,62,130,166,100,146,136,134,120,166,86
MEG_1009/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH2_DPRIME,0,0,0,0,0,0,98,64,0,0
MEG_6762/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,0,0,0,0
MEG_7320/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,28,47,27,34,60,23,38,0,35,26
MEG_6172/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SDEA,0,0,0,0,0,0,0,18,0,0
MEG_5856/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_regulator/QACR,0,8,8,0,0,6,0,14,0,0
MEG_3750/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/MDTC,0,0,0,27,0,0,0,0,0,0
MEG_2733/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRK,0,0,0,0,0,6,0,0,0,0
MEG_7265/Biocides/Multi_biocide_resistance/Multi_biocide_RND_efflux_pump/TOLC,0,0,0,0,2,0,0,2,2,2
MEG_3620/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUG,0,44,30,0,0,32,38,26,0,0
MEG_4164/Metals/Sodium_resistance/Sodium_resistance_protein/NHAB,0,0,20,0,0,0,0,0,0,0
MEG_2801/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,1,3,5,10,18,5,10,0,34,4
MEG_703/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ADER,0,0,48,0,0,0,24,52,0,16
MEG_6133/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,143,194,128,165,162,109,103,69,408,124
MEG_1143/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ARSA,0,0,10,0,0,0,0,0,0,0
MEG_7690/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/VGAE,0,0,24,0,0,0,0,0,0,0
MEG_916/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,1,0,0,0,0,0,0
MEG_3744/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/MDTA,0,0,0,0,0,0,0,0,12,0
MEG_2731/Drugs/Multi_drug_resistance/Multi_drug_SMR_efflux_regulator/EMRE,0,0,0,0,0,0,0,0,24,0
MEG_4290/Drugs/betalactams/Mutant_porin_proteins/OMPR,0,0,12,0,0,0,0,0,0,0
MEG_7191/Drugs/Tetracyclines/Tetracycline_transcriptional_repressor/TETR/RequiresSNPConfirmation,0,0,0,0,0,2,0,0,0,0
MEG_988/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT6,0,76,46,34,0,0,44,42,0,0
MEG_2449/Metals/Multi_metal_resistance/Multi_metal_RND_efflux_pumps/CUSC,0,0,0,11,0,0,0,0,0,0
MEG_3764/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MDTO,0,0,0,0,0,4,0,8,0,0
MEG_3649/Drugs/betalactams/Class_A_betalactamases/LUS,0,0,22,0,0,0,0,0,0,0
MEG_1558/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CAT,0,0,10,0,0,0,0,0,0,0
MEG_3186/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,17,0,0,0,0,0,0
MEG_4750/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,14,0,0,14,14,24,0,0
MEG_3611/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUC,0,0,34,56,48,0,26,0,0,0
MEG_7001/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TET48,0,0,16,0,0,0,26,0,0,0
MEG_6961/Metals/Tellurium_resistance/Tellurium_resistance_protein/TERZ,0,0,18,0,0,28,28,18,0,0
MEG_2802/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,3,0,0,2,0,2,2,0,6,0
MEG_7122/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,22,48,36,69,45,22,17,21,73,34
MEG_3278/Metals/Copper_resistance/Copper_resistance_protein/HPCOPP,0,0,4,0,2,0,0,12,18,4
MEG_6146/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/RRSC/RequiresSNPConfirmation,2281,3249,3302,3629,4236,2033,2376,1817,6524,2950
MEG_6931/Drugs/betalactams/Class_A_betalactamases/TEM,2,2,0,0,0,0,0,0,0,0
MEG_4285/Drugs/betalactams/Mutant_porin_proteins/OMPD,0,0,64,54,66,0,44,40,66,28
MEG_8250/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,872,1955,1095,1514,2119,664,1126,544,1833,630
MEG_2772/Drugs/MLS/23S_rRNA_methyltransferases/ERM,0,96,50,44,0,28,38,22,36,28
MEG_3879/Metals/Mercury_resistance/Mercury_resistance_protein/MERP,0,0,6,0,0,0,0,0,0,0
MEG_8447/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,6,0,26,18,11,0,0,12,43,32
MEG_6908/Drugs/betalactams/Class_A_betalactamases/TEM,0,1,0,0,0,0,0,0,0,0
MEG_6112/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,125,195,97,178,183,95,123,62,358,129
MEG_2443/Metals/Copper_resistance/Copper_resistance_regulator/CUER,0,10,0,0,0,4,0,0,0,0
MEG_1154/Metals/Arsenic_resistance/Arsenic_resistance_protein/ARSC,0,0,0,0,0,0,0,10,6,0
MEG_194/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC6_PRIME,0,0,0,0,16,12,18,8,0,8
MEG_1784/Drugs/Phenicol/Phenicol_resistance_MFS_efflux_pumps/CMX,0,0,0,0,0,0,4,0,0,0
MEG_6514/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_ABC_efflux_pumps/SITB,0,8,0,0,0,0,0,0,0,0
MEG_3070/Drugs/Fusidic_acid/Ribosomal_zinc_binding_protein/FUSD,0,0,0,0,0,0,16,0,0,0
MEG_6106/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,395,759,399,745,614,332,558,216,4526,452
MEG_7068/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETD,4,0,0,0,0,0,0,0,0,9
MEG_3234/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,16,0,0,0,0,0,0,0
MEG_7624/Drugs/MLS/Streptogramin_A_O_acetyltransferase/VATD,0,0,0,0,0,0,8,0,0,0
MEG_1144/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ARSA,0,0,0,0,0,0,0,0,0,6
MEG_5341/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,90,171,116,131,0,65,87,59,397,0
MEG_7130/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,26,55,40,65,33,32,31,22,67,45
MEG_5849/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACJ,0,0,0,0,0,0,12,4,0,0
MEG_7514/Drugs/Glycopeptides/VanL_type_regulator/VANSL,0,0,18,0,0,0,0,20,0,0
