gene_accession,HBB04e_t2_M_BC,HBB05e_t2_M_BC,HBB03e_t2_M_BC,HBB04u_t2_M_BC,HBB03u_t2_M_BC,HBB02u_t2_M_BC,HBB02e_t2_M_BC,HBB01u_t2_M_BC,HBB01e_t2_M_BC,HBB05u_t2_M_BC
MEG_3018/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSD,0,0,0,0,0,0,6,0,0,0
MEG_3201/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,66,45,29,39,54,59,24,79,159,44
MEG_7624/Drugs/MLS/Streptogramin_A_O-acetyltransferase/VATD,0,0,0,0,0,0,0,0,0,16
MEG_5325/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,36,0
MEG_6908/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,0,0,10
MEG_3374/Drugs/betalactams/Class_B_betalactamases/IMP,14,0,0,0,0,0,0,24,18,42
MEG_5354/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,40,0,58,0,0,0,0,0,70
MEG_193/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,10,0,0,0,0,0,0,0
MEG_7048/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,225,182,183,177,181,194,108,180,157,277
MEG_677/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ADEA,0,0,0,0,0,0,0,44,0,0
MEG_4285/Drugs/betalactams/Mutant_porin_proteins/OMPD,88,101,50,54,92,110,62,70,76,150
MEG_3247/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,62,0,26,28,44,0,0,42,0,44
MEG_7059/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,32,60,29,11,10,31,71,33,28,106
MEG_3979/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,1201,908,839,1361,806,917,642,864,860,1366
MEG_3994/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,2770,2365,2278,2270,2515,3443,1776,2109,2436,4609
MEG_7086/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETH,60,39,35,113,105,62,51,136,34,38
MEG_3587/Drugs/Lipopeptides/Daptomycin-resistant_mutant/LIAFSR/RequiresSNPConfirmation,0,0,4,0,0,0,0,0,0,20
MEG_6957/Metals/Tellurium_resistance/Tellurium_resistance_protein/TERC,0,0,0,0,0,70,0,0,0,0
MEG_6764/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,0,0,0
MEG_7051/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,230,191,146,205,201,233,102,191,231,292
MEG_3921/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXQ,0,0,0,0,0,0,0,60,0,0
MEG_3278/Metals/Copper_resistance/Copper_resistance_protein/HPCOPP,4,0,10,0,14,12,0,16,24,0
MEG_3755/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDTH,10,6,0,0,0,0,0,0,0,0
MEG_1009/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH2-DPRIME,0,0,0,0,0,0,0,0,40,0
MEG_6136/Drugs/Multi-drug_resistance/MDR_mutation/MRPOB/RequiresSNPConfirmation,138,121,76,180,134,131,98,95,159,189
MEG_8261/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRH,78,0,0,46,70,98,0,68,74,92
MEG_3665/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/MCO,0,0,0,0,0,0,34,0,0,0
MEG_8432/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,0,0,78
MEG_6917/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_2754/Drugs/MLS/Macrolide_esterases/ERED,52,0,42,0,94,34,0,56,0,44
MEG_8073/Drugs/Trimethoprim/Dihydrofolate_reductase/DHFR/RequiresSNPConfirmation,0,0,0,62,0,0,0,62,0,0
MEG_410/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRF,54,14,0,0,0,0,0,0,0,0
MEG_6809/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_6131/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,321,263,259,372,259,325,235,321,348,449
MEG_5780/Drugs/Lipopeptides/Daptomycin-resistant_mutant/PGSA/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,6
MEG_5377/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,0,0,0,71,0,0,232
MEG_7323/Metals/Tungsten_Resistance/Tungsten_ABC_efflux_pumps/TUPA,0,0,0,0,0,0,0,16,0,0
MEG_7120/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,41,12,8,33,9,27,12,4,18,26
MEG_5365/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,42,50,28,16,49,49,12,32,88,0
MEG_6899/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,2
MEG_3429/Drugs/Mycobacterium_tuberculosis-specific_Drug/Isoniazid-resistant_mutant/INHA/RequiresSNPConfirmation,0,0,0,0,4,16,0,0,0,0
MEG_6637/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,26,25,35,79,24,17,23,12,4,7
MEG_2575/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRD,0,0,0,0,0,8,0,0,0,0
MEG_4067/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRA,0,0,0,0,0,0,0,62,0,0
MEG_7039/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,228,139,132,104,140,149,97,120,141,171
MEG_2578/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRF,0,0,0,0,6,0,0,0,0,0
MEG_190/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,0,0,0,0,0,58
MEG_8095/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSY,0,0,0,0,0,0,0,0,0,6
MEG_6523/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SME,40,0,23,0,0,56,0,22,0,0
MEG_3225/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,96,0,92,0,0,0,0,0,0
MEG_396/Metals/Iron_resistance/Iron_resistance_protein/ACN,1508,763,581,1092,803,1262,666,952,722,1635
MEG_7473/Drugs/Glycopeptides/VanC-type_regulator/VANRC,0,0,30,28,0,0,0,0,0,30
MEG_7172/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,4,6,0,20,4,2,6,10,2,8
MEG_8035/Drugs/Lipopeptides/Colistin_phosphoethanolamine_transferase/CPRR,46,32,26,0,0,0,0,22,0,86
MEG_8036/Drugs/Lipopeptides/Colistin_phosphoethanolamine_transferase/CPRS,0,0,0,0,0,28,0,48,0,0
MEG_1004/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT9,0,0,0,226,0,142,0,240,0,0
MEG_4596/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,14,0,0,0,0,0
MEG_7530/Drugs/Glycopeptides/VanE-type_resistance_protein/VANTE,0,0,0,0,0,0,0,0,0,46
MEG_3518/Drugs/betalactams/Class_B_betalactamases/L1,0,0,0,0,0,0,6,0,0,0
MEG_6513/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_ABC_efflux_pumps/SITA,0,0,0,0,0,0,0,0,44,0
MEG_3227/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,14,0,0,0,0,0,0,0,0,0
MEG_6582/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,21,8,14,40,18,10,18,16,4,8
MEG_7105/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,230,106,43,217,36,63,64,71,60,228
MEG_2093/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORD,4,2,0,0,0,0,0,0,0,0
MEG_3907/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXD,0,0,0,0,0,0,0,0,12,0
MEG_4068/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRA,0,0,0,0,32,0,20,0,0,0
MEG_8151/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,130,108,77,130,61,77,42,118,194,33
MEG_7236/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,14,2,2,16,8,4,0,8,0,4
MEG_6145/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/RRSA/RequiresSNPConfirmation,1951,2221,1122,2983,1557,1852,1168,1335,1455,2826
MEG_6834/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,2,0,0
MEG_8150/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,39,55,47,44,29,40,26,45,239,96
MEG_3073/Drugs/Fusidic_acid/Fusidic_acid_esterases/FUSF,24,22,0,22,0,18,14,0,0,0
MEG_4095/Drugs/Fosfomycin/Fosfomycin_target_mutation/MURA/RequiresSNPConfirmation,70,65,0,60,101,108,34,78,96,86
MEG_2689/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DSBB,2,0,0,0,0,2,0,0,16,0
MEG_7/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,7177,9564,4008,9202,5554,6507,4150,4823,5329,9038
MEG_4105/Drugs/betalactams/Class_B_betalactamases/MYO,22,0,0,0,0,0,28,0,0,46
MEG_4012/Metals/Multi-metal_resistance/Multi-metal_ABC_efflux_pumps/MODC,28,0,0,7,0,0,0,0,0,0
MEG_4663/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,20,0,28,0,0
MEG_6666/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,6
MEG_2771/Drugs/MLS/23S_rRNA_methyltransferases/ERM,0,0,0,78,60,76,80,44,0,138
MEG_2077/Metals/Copper_resistance/Copper_resistance_regulator/COPS,0,0,2,0,0,0,0,0,12,0
MEG_5405/Drugs/betalactams/Penicillin_binding_protein/PBP2/RequiresSNPConfirmation,0,0,0,0,0,0,0,14,0,0
MEG_7257/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/TLRCM,208,0,0,0,0,197,0,173,0,0
MEG_915/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,8,0,0,0,0,0,0,2
MEG_6706/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,0,0,8
MEG_2798/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,0,0,0,40,0,0,0,0,0
MEG_7314/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,72,56,34,25,33,46,26,84,30,112
MEG_1055/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,11,0,2,3,2,10,3,0,0,28
MEG_2799/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,25,48,0,40,34,0,4,0,9,23
MEG_889/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,0,0,0,0,0,1
MEG_7839/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_SMR_efflux_pump/YKKC,0,0,0,0,4,0,0,0,0,0
MEG_8287/Drugs/betalactams/Mutant_porin_proteins/OMP36/RequiresSNPConfirmation,0,2,0,4,0,0,0,0,20,0
MEG_4203/Biocides/Paraquat_resistance/Paraquat_resistance_protein/NMPC,0,12,0,0,4,0,0,0,0,0
MEG_3978/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,1075,825,1070,920,989,1280,778,1519,937,1638
MEG_4279/Drugs/betalactams/Mutant_porin_proteins/OMP36/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,8,0
MEG_6139/Drugs/Lipopeptides/Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoC/RPOCL/RequiresSNPConfirmation,2952,2702,1926,3898,2708,2788,1949,2541,2661,3762
MEG_6541/Biocides/Peroxide_resistance/peroxide_resistance_protein/SODA,0,0,48,33,0,0,0,0,0,9
MEG_1586/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,0,0,0,0,0,0,0,0,10
MEG_2084/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORA,15,0,0,38,25,48,0,42,125,0
MEG_6052/Metals/Chromium_resistance/Chromium_resistance_protein/RECG,0,12,22,14,0,4,0,0,0,8
MEG_5378/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,192,170
MEG_6162/Drugs/Nucleosides/Streptothricin_acetyltransferase/SAT,0,0,6,0,0,0,0,0,0,4
MEG_8144/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,67,27,57,52,18,41,34,57,75,38
MEG_2733/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRK,6,0,0,0,0,0,0,0,0,0
MEG_411/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ACRR/RequiresSNPConfirmation,20,0,0,0,0,0,0,45,0,8
MEG_7017/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,38,28,0,66,0,21,0,0,0,31
MEG_5772/Biocides/Peroxide_resistance/peroxide_resistance_regulator/PERR,0,62,10,104,26,38,32,0,12,68
MEG_6160/Drugs/Nucleosides/Streptothricin_acetyltransferase/SAT,0,0,6,0,0,0,0,0,0,0
MEG_2092/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORD,4,0,0,0,0,0,0,0,0,0
MEG_4162/Metals/Sodium_resistance/Sodium_resistance_protein/NHAA,23,26,0,19,0,0,0,0,0,0
MEG_3226/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,83,0,44,48,0,70,53,81,0,0
MEG_407/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/ACRD,44,0,23,17,0,0,0,0,59,0
MEG_6865/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,4
MEG_6927/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,22
MEG_8703/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,8
MEG_6838/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,0,0,0
MEG_7625/Drugs/MLS/Streptogramin_A_O-acetyltransferase/VATD,0,0,0,0,0,0,0,0,0,10
MEG_502/Metals/Tellurium_resistance/Tellurium_resistance_protein/ACTP1,23,0,0,0,17,26,0,0,0,0
MEG_8677/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/RPSL/RequiresSNPConfirmation,143,113,98,98,89,193,61,227,99,103
MEG_6528/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SME,0,0,28,0,0,0,0,0,0,0
MEG_8674/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB,1950,926,821,1450,1144,1766,910,1266,1064,2265
MEG_2716/Biocides/Multi-biocide_resistance/Multi-biocide_RND_efflux_pump/EMHB,0,0,26,0,65,0,0,77,170,43
MEG_8146/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,16,13,23,26,0,13,23,29,76,0
MEG_6902/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_401/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRB,61,66,13,62,0,28,18,0,255,0
MEG_7515/Drugs/Glycopeptides/VanM-type_regulator/VANSM,38,0,0,0,0,0,0,0,0,84
MEG_6090/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,38,0,0,19,0,20,0,0,0,45
MEG_6094/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,157,104,83,117,90,104,91,176,273,101
MEG_7850/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ZIPB,0,0,0,0,0,14,0,28,0,0
MEG_6753/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_7682/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/VGA,0,0,0,0,0,0,0,58,0,0
MEG_2440/Metals/Copper_resistance/Copper_resistance_protein/CUEO,31,30,38,21,19,54,28,18,195,0
MEG_7620/Drugs/MLS/Streptogramin_A_O-acetyltransferase/VATA,0,0,0,48,0,0,0,0,0,0
MEG_5814/Metals/Arsenic_resistance/Arsenic_resistance_protein/PSTB,74,27,34,52,34,70,18,40,80,0
MEG_3890/Metals/Mercury_resistance/Mercury_resistance_protein/MERT,0,0,0,0,14,0,0,24,0,0
MEG_3837/Metals/Mercury_resistance/Mercury_resistance_protein/MERA,0,8,8,0,0,0,0,0,0,0
MEG_6709/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_6680/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,0,0,0
MEG_6128/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,140,143,84,233,177,174,97,112,142,189
MEG_2088/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORB,56,0,0,0,0,0,0,0,0,0
MEG_2473/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_regulator/CZCR,0,0,0,0,0,0,12,0,0,0
MEG_6125/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,411,505,200,210,261,373,254,372,354,436
MEG_6922/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,0,0,2
MEG_6778/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,4
MEG_8739/Drugs/betalactams/Class_B_betalactamases/VMB,0,0,0,0,0,8,0,10,0,0
MEG_5787/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/PITA,31,18,0,3,34,0,0,0,190,0
MEG_3908/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXE,0,0,0,0,38,0,0,0,0,29
MEG_1048/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,0,0,0,0,0,0,0,0,14,22
MEG_1002/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT6,0,0,0,12,0,0,0,0,0,0
MEG_6101/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,167,66,87,105,139,105,83,130,119,111
MEG_6118/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,449,1286,402,2132,480,413,279,295,335,1347
MEG_4289/Drugs/betalactams/Mutant_porin_proteins/OMPFB/RequiresSNPConfirmation,32,0,0,0,0,0,0,0,0,0
MEG_7057/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,34,18,30,15,14,41,18,24,4,61
MEG_7407/Drugs/Glycopeptides/VanA-type_resistance_protein/VANHA,0,0,0,0,0,0,0,0,0,3
MEG_6786/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_4058/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/MRDH,0,0,0,0,0,0,0,0,5,0
MEG_10/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,1138,1046,886,1530,1197,1159,703,1209,769,1404
MEG_1176/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSRM,21,3,0,0,16,0,0,0,7,23
MEG_4664/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,10,10,0,0,0,0,0,0
MEG_2877/Biocides/Phenolic_compound_resistance/Phenolic_resistance_protein/FABL,0,0,0,0,0,0,0,0,0,14
MEG_2739/Drugs/Cationic_antimicrobial_peptides/Lipid_A_modification/EPTA,62,36,0,42,52,0,0,0,0,0
MEG_4001/Drugs/betalactams/Class_B_betalactamases/MOC,0,0,0,0,0,18,0,0,0,14
MEG_2091/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORC,30,29,16,26,20,45,37,26,126,0
MEG_7838/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_SMR_efflux_pump/YKKC,68,0,0,0,0,24,0,0,0,0
MEG_820/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,0,0,0,0,0,2
MEG_2670/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/DRRA,0,0,0,20,9,0,0,0,0,54
MEG_8100/Drugs/Fusidic_acid/Fusidic_acid-resistant_mutation/FUSA/RequiresSNPConfirmation,781,674,481,960,592,763,545,531,648,1054
MEG_890/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,1,0,0,0,0,0,0,0
MEG_8671/Drugs/MLS/Macrolide-resistant_50S_rRNA_mutation/RPLD/RequiresSNPConfirmation,348,384,234,452,271,293,209,320,259,516
MEG_3178/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,16,0,0,0,0,0,0,0,0,0
MEG_2870/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_regulator/EVGS,38,0,0,0,0,0,0,0,0,0
MEG_6158/Drugs/Nucleosides/Streptothricin_acetyltransferase/SAT,0,0,0,0,0,0,0,6,0,0
MEG_2477/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/CZNB,0,0,0,0,0,0,66,0,0,0
MEG_2868/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_regulator/EVGS,7,0,0,0,0,0,0,0,0,0
