gene_accession,CRA02e_t2_M_BC,CRA01u_t2_M_BC,CRA05e_t2_M_QC,CRA01e_t2_M_BC,CRA04u_t2_M_QC,CRA03u_t2_M_BC,CRA03e_t2_M_BC,CRA02u_t2_M_BC,CRA04e_t2_M_QC,CRA05u_t2_M_QC
MEG_5373/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,518,181,291,240,233,504,139,612,266,435
MEG_768/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,0,0,0,2,0,0
MEG_1790/Drugs/betalactams/Class_C_betalactamases/CMY,0,0,0,0,0,0,2,0,0,0
MEG_186/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,0,0,4,0,0,0
MEG_8448/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,25,42
MEG_810/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,0,0,0,2,0,0
MEG_2447/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/CUSB,0,0,0,0,0,0,12,0,24,44
MEG_4214/Drugs/Aminocoumarins/Aminocoumarin_efflux_pump/NOVA,0,0,0,0,0,0,0,0,0,98
MEG_2090/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORC,50,23,18,32,24,69,28,38,29,58
MEG_1177/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSRM,0,52,0,0,0,18,0,0,0,96
MEG_4792/Drugs/betalactams/Class_D_betalactamases/OXA,24,0,0,0,0,0,0,0,0,0
MEG_7185/Drugs/Tetracyclines/Tetracycline_transcriptional_repressor/TETR/RequiresSNPConfirmation,253,43,33,57,49,288,21,88,71,119
MEG_196/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,0,16,0,0,0,0
MEG_2580/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRI,0,0,0,0,0,0,0,0,16,0
MEG_961/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,2,0,0,0,0,0,0,0,0
MEG_7098/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETL,126,26,71,0,10,54,0,178,15,20
MEG_1701/Metals/Sodium_resistance/Sodium_resistance_protein/CHAA,0,0,0,0,0,0,25,0,73,87
MEG_1744/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/CMEE,140,0,106,0,88,110,0,66,142,108
MEG_7850/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ZIPB,18,16,0,0,0,40,0,0,0,0
MEG_7196/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_regulator/TETRM/RequiresSNPConfirmation,1407,1006,1228,1411,1133,1286,846,1617,1105,1749
MEG_720/Drugs/betalactams/Class_B_betalactamases/ALI,0,0,0,8,0,0,0,0,0,0
MEG_1095/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH6,12,18,10,4,0,16,8,11,0,1
MEG_2084/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORA,38,41,10,23,5,53,54,30,36,68
MEG_4659/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,0,12,0
MEG_3796/Drugs/betalactams/Penicillin_binding_protein/MECB,0,0,0,0,0,0,0,0,60,0
MEG_6134/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,0,0,27,0,0,28,0,29
MEG_6165/Drugs/Nucleosides/Streptothricin_acetyltransferase/SAT,0,0,0,0,0,0,0,0,24,0
MEG_8153/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,0,0,148,75,0,0,0,180,148,311
MEG_1475/Drugs/betalactams/Class_A_betalactamases/BRO,0,0,16,0,0,0,0,0,0,0
MEG_1581/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,0,34,10,0,0,0,0,0,0
MEG_6053/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/RECGM,0,0,0,0,0,87,48,0,83,137
MEG_281/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,0,0,0,0,26,0
MEG_3008/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSB,0,0,0,0,0,0,0,0,12,0
MEG_1166/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSDM,0,46,0,2,8,0,10,0,0,0
MEG_2685/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DSBA,0,0,0,0,0,0,0,0,2,6
MEG_7210/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,28,38,17,20,0,38,11,74,20,41
MEG_370/Drugs/Fosfomycin/Fosfomycin_MFS_efflux_pump/ABAQ,0,0,0,0,0,0,0,0,38,0
MEG_7482/Drugs/Glycopeptides/VanL-type_regulator/VANRI,0,0,0,0,0,0,54,26,34,62
MEG_2063/Metals/Copper_resistance/Copper_resistance_protein/COPL,0,0,0,0,0,0,12,0,20,20
MEG_3515/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/KPNF,0,0,0,0,0,24,4,0,0,2
MEG_2972/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,0,0,0,10,0,6,24
MEG_4065/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRA,0,0,0,0,0,0,0,0,58,0
MEG_5365/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,42,14,28,0,0,92,23,0,38,28
MEG_6624/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,14,14,22,14,7,7,8,22,18,9
MEG_1181/Biocides/Acid_resistance/Acid_resistance_protein/ASR,12,0,11,11,0,0,10,5,14,19
MEG_2779/Drugs/MLS/23S_rRNA_methyltransferases/ERM42,0,0,0,0,0,0,0,0,20,36
MEG_6826/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,2,0,0
MEG_2645/Drugs/Trimethoprim/Dihydrofolate_reductase/DHFR/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,4
MEG_2455/Metals/Copper_resistance/Copper_resistance_protein/CUTC,0,0,0,0,0,0,0,0,0,4
MEG_7039/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,147,103,83,104,99,86,74,157,77,151
MEG_1037/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,0,0,0,0,0,26,0,0,0,24
MEG_757/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT2-DPRIME,0,0,0,0,0,0,0,0,1,0
MEG_7329/Drugs/Fosfomycin/Fosfomycin_target_mutation/UHPT/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,34,0
MEG_4101/Drugs/Multi-drug_resistance/Multi-drug_RND_efflux_pumps/MUXB,58,49,82,46,0,135,127,84,87,210
MEG_190/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,18,0,28,0,0,0,0
MEG_2829/Drugs/MLS/23S_rRNA_methyltransferases/ERMF,0,0,0,0,28,0,0,0,0,0
MEG_7060/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,10,6,0,14,0,8,0,22,0,0
MEG_2125/Metals/Copper_resistance/Copper_resistance_protein/CRDB,26,0,42,0,0,32,0,0,140,0
MEG_1144/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSA,0,0,0,12,0,0,32,0,0,0
MEG_8418/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,20,0,0,0,0
MEG_121/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,8,0,6,0,0,0,0,0,0,0
MEG_706/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ADET2,0,0,0,0,0,16,0,0,30,0
MEG_7057/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,111,38,0,11,16,280,24,28,26,14
MEG_7624/Drugs/MLS/Streptogramin_A_O-acetyltransferase/VATD,12,0,0,0,0,0,0,0,16,0
MEG_3847/Metals/Mercury_resistance/Mercury_resistance_protein/MERB,0,0,0,0,0,2,0,0,0,0
MEG_6125/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,333,251,558,253,331,379,189,343,458,590
MEG_1685/Drugs/Multi-drug_resistance/MDR_23S_ribosomal_RNA_methyltransferase/CFRC,0,0,0,0,0,0,0,0,48,0
MEG_1084/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH6,19,28,22,6,0,7,13,3,0,0
MEG_2806/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,14,10,0,14,0,20,6,26,0,0
MEG_6155/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/RUVBM,16,0,0,0,0,0,0,0,0,0
MEG_7015/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,4,0,0,8,0,13,0,13,11,16
MEG_2138/Drugs/betalactams/Class_A_betalactamases/CSP,0,0,32,0,0,0,0,0,28,0
MEG_2049/Metals/Copper_resistance/Copper_resistance_protein/COPC,0,0,0,0,0,0,0,0,0,1
MEG_3992/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,26588,22658,22489,18192,16395,35202,15672,50761,19197,47756
MEG_8070/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRB/RequiresSNPConfirmation,0,0,0,0,0,18,16,0,0,0
MEG_6757/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,0,0,0,0,0
MEG_5352/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,48,0,0,0,0,0,0,0,0,0
MEG_7811/Metals/Iron_resistance/Iron_resistance_protein/YBTP,0,0,18,0,0,0,18,0,0,0
MEG_997/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT6,0,0,0,0,0,0,0,0,16,0
MEG_7062/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,139,43,10,16,38,307,25,37,27,41
MEG_5814/Metals/Arsenic_resistance/Arsenic_resistance_protein/PSTB,36,54,32,25,50,77,104,53,121,214
MEG_1699/Drugs/betalactams/Class_A_betalactamases/CGA,0,0,0,0,0,0,0,0,14,0
MEG_5772/Biocides/Peroxide_resistance/peroxide_resistance_regulator/PERR,48,0,12,8,0,0,18,34,18,0
MEG_6691/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,2,0,0
MEG_7311/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,58,38,45,54,50,75,40,52,56,85
MEG_7107/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,16,19,0,24,2,15,18,47,4,16
MEG_6754/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,4,0,0
MEG_6988/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TET39,0,0,0,0,0,0,0,0,8,0
MEG_401/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRB,30,40,21,12,0,135,112,0,89,142
MEG_7452/Drugs/Glycopeptides/VanA-type_regulator/VANRA,0,0,0,0,0,0,0,0,16,0
MEG_7094/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETL,217,47,190,0,18,169,12,492,46,49
MEG_8651/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACL,0,4,0,0,0,5,0,6,0,0
MEG_1743/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/CMED,0,0,42,0,0,54,0,0,38,0
MEG_3016/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSC,0,0,0,0,0,0,0,0,18,0
MEG_6928/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_3759/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MATE_efflux_pumps/MDTK,0,0,0,0,0,0,30,0,55,57
MEG_5787/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/PITA,0,25,0,3,0,50,99,0,72,123
MEG_4215/Drugs/Aminoglycosides/16S_rRNA_methyltransferases/NPMA,0,0,0,0,0,26,0,0,16,0
MEG_5385/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,80,0,46,52,0,0,0,96,44,0
MEG_6086/Drugs/Rifampin/Rifampin_phosphotransferase/RPH,113,0,0,0,0,113,0,152,116,0
MEG_6881/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,0,0,2,0
MEG_4163/Metals/Sodium_resistance/Sodium_resistance_protein/NHAB,0,0,0,0,0,10,26,0,12,41
MEG_8119/Drugs/betalactams/Class_B_betalactamases/GOB,0,0,0,0,0,0,0,0,12,0
MEG_7016/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,9,0,16,16,5,10,0,37,27,28
MEG_3208/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,278,255,335,296,267,238,166,400,205,474
MEG_7122/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,16,27,14,8,0,33,7,61,6,17
MEG_7537/Drugs/Glycopeptides/VanA-type_accessory_protein/VANWA,15,0,0,0,0,0,0,0,0,0
MEG_7154/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,0,0,0,0,4,0,0,0,0,0
MEG_4324/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,0,0,0,0,0,8,0,0,0,0
MEG_6545/Biocides/Peroxide_resistance/peroxide_resistance_protein/SODB,82,0,44,8,0,42,21,0,24,37
MEG_503/Metals/Copper_resistance/Copper_resistance_protein/ACTPC,0,0,115,0,182,0,0,0,0,308
MEG_7557/Drugs/Glycopeptides/VanA-type_resistance_protein/VANXA,8,0,0,0,0,0,0,0,0,0
MEG_6049/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/RCNB,0,0,0,0,0,0,4,0,8,3
MEG_7106/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,24,33,8,20,8,40,15,106,10,15
MEG_3911/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXF,0,0,0,0,0,0,0,0,0,74
MEG_3199/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,169,169,151,94,112,178,112,361,206,397
MEG_8230/Drugs/Lipopeptides/Colistin-resistant_mutant/LPSA,0,0,16,0,0,0,0,0,18,16
MEG_8261/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRH,100,74,118,58,0,102,68,96,90,128
MEG_6123/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,104,129,156,106,113,202,129,138,152,286
MEG_5339/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,110,0,0,0,140,96
MEG_7640/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/VCER,0,0,0,0,0,0,0,0,14,0
MEG_6359/Drugs/betalactams/Class_A_betalactamases/SHV,0,0,0,0,0,0,2,0,0,0
MEG_2061/Metals/Copper_resistance/Copper_resistance_protein/COPK,38,0,0,0,0,58,0,16,0,12
MEG_6731/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_6742/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,2,2,0
MEG_7867/Metals/Zinc_resistance/Zinc_resistance_regulator/ZUR,0,0,0,0,0,4,4,0,14,12
MEG_8714/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TET63,0,0,0,0,0,0,0,0,60,60
MEG_5323/Drugs/Pleuromutilin/Pleuromutilin-resistant_23S_rRNA_mutation/P23S/RequiresSNPConfirmation,0,97,0,110,0,59,0,55,88,53
MEG_7308/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,48,45,56,34,26,26,23,30,26,43
MEG_8638/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/POXT,0,0,0,0,0,0,0,0,48,0
MEG_7831/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/YGIW,2,0,0,0,0,0,0,0,15,25
MEG_378/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/ABES,4,0,0,0,0,0,0,0,0,4
MEG_2682/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DSBA,0,0,0,0,0,0,4,0,0,2
MEG_8679/Drugs/Oxazolidinone/Oxazolidinone-resistant_23S_rRNA_mutation/RRL/RequiresSNPConfirmation,360,282,636,308,518,590,317,617,448,1151
MEG_8458/Drugs/betalactams/Penicillin_binding_protein/PBP3/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,80,0
MEG_6701/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,2,0,0
MEG_7328/Drugs/Cationic_antimicrobial_peptides/Lipid_A_modification/UGD,0,0,0,0,0,0,43,0,23,20
MEG_1008/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH2-DPRIME,0,0,0,0,0,0,0,0,18,0
MEG_4011/Metals/Multi-metal_resistance/Multi-metal_ABC_efflux_pumps/MODC,0,0,84,36,88,116,68,54,58,120
MEG_7481/Drugs/Glycopeptides/VanG-type_regulator/VANRG,108,60,76,62,66,150,0,164,70,150
MEG_3902/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXB,0,0,20,0,0,0,0,0,12,8
MEG_7070/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETD,651,505,661,757,605,700,513,926,622,866
MEG_1308/Drugs/betalactams/Class_A_betalactamases/BLASGM,0,0,0,0,20,0,0,0,0,0
MEG_1722/Metals/Copper_resistance/Copper_resistance_protein/CINA,0,0,30,0,18,0,0,16,34,52
MEG_3189/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,32,25,44,0,42,49,50,0,30,132
MEG_6097/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,287,248,298,230,224,287,161,313,280,421
MEG_4303/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OPRZ,0,0,0,0,0,25,0,0,0,42
MEG_1208/Drugs/betalactams/Class_A_betalactamases/BCL,100,0,0,0,0,54,0,0,30,0
MEG_6941/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,0,2,0,0
MEG_352/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,0,40,0,22,0,0
MEG_3722/Drugs/Lipopeptides/Colistin_phosphoethanolamine_transferase/MCR,0,0,0,0,0,0,0,0,104,136
MEG_890/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,0,0,1,5,0,0
MEG_7688/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/VGAB,0,0,158,0,0,96,0,0,108,156
MEG_3221/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,0,41,0,0,31,0
MEG_8087/Biocides/Aldehyde_resistance/Aldehyde_degradation/FORMA,21,0,0,0,0,0,10,32,10,24
MEG_2353/Drugs/betalactams/Class_A_betalactamases/CTX,0,0,0,0,0,0,0,0,0,2
MEG_7859/Metals/Zinc_resistance/Zinc_resistance_protein/ZNUC,0,0,0,0,0,8,0,0,10,28
MEG_7312/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,1902,1812,2722,1907,2014,2198,1549,2523,2137,3674
MEG_6091/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,65,0,0,0,0,0,0,0,0
MEG_2112/Drugs/betalactams/Class_B_betalactamases/CPS,0,0,38,12,0,14,0,0,0,0
MEG_6122/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,55,45,49,28,37,98,28,52,51,112
MEG_7475/Drugs/Glycopeptides/VanD-type_regulator/VANRD,8,0,0,0,0,0,0,0,10,0
MEG_1281/Drugs/betalactams/Class_C_betalactamases/BLAEC,0,0,0,0,0,0,2,0,0,4
MEG_3976/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,8735,9226,7014,9191,10853,7964,8414,9916,8602,23398
MEG_3048/Drugs/betalactams/Class_A_betalactamases/FPH,20,0,0,0,0,12,0,0,28,0
MEG_2452/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_regulator/CUSR,22,10,26,0,9,17,21,0,18,29
MEG_2696/Drugs/betalactams/Class_B_betalactamases/EBR,0,0,0,0,0,0,0,0,12,0
MEG_2695/Drugs/betalactams/Class_B_betalactamases/EBR,0,0,0,0,0,0,0,18,0,0
MEG_2114/Drugs/Phenicol/Chloramphenicol_phosphotransferase/CPT,24,0,0,8,18,26,14,0,18,0
MEG_1001/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT6,0,0,0,0,0,0,11,26,0,0
MEG_2093/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORD,0,0,0,0,0,0,8,2,8,12
MEG_150/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,0,0,0,0,4,0
MEG_3947/Metals/Multi-metal_resistance/Multi-metal_resistance_regulator/MGTA,48,0,62,40,0,0,36,0,53,102
MEG_8686/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/RSMA,14,0,24,22,30,42,2,24,36,30
MEG_1154/Metals/Arsenic_resistance/Arsenic_resistance_protein/ARSC,0,0,0,0,8,0,0,0,0,0
MEG_7978/Drugs/betalactams/Class_A_betalactamases/AXC,0,0,0,0,0,0,0,0,0,14
MEG_3827/Drugs/MLS/MLS_resistance_MFS_efflux_pumps/MEFB,0,0,0,0,0,0,0,0,0,12
MEG_1116/Drugs/Multi-drug_resistance/MDR_regulator/ARLR,0,0,0,0,0,0,0,0,20,0
MEG_2946/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,337,198,322,267,241,253,163,306,250,398
MEG_992/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT6,5,0,0,0,0,2,0,0,0,0
MEG_7061/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,2,15,0,8,0,4,0,26,0,0
MEG_7085/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETH,46,61,63,37,7,16,23,75,21,12
MEG_3076/Biocides/Acid_resistance/Acid_resistance_protein/GADA,0,0,0,0,0,0,27,0,0,22
MEG_488/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,0,0,0,5,0
MEG_2430/Drugs/betalactams/Class_A_betalactamases/CTX,0,0,10,12,6,1002,74,0,19,20
MEG_5340/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,72,0,0,94,0
MEG_2780/Drugs/MLS/23S_rRNA_methyltransferases/ERM42,0,0,12,0,0,0,0,0,16,0
MEG_256/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,32,0,10,0,0,0
MEG_3746/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/MDTA,0,67,22,0,0,0,42,0,28,167
MEG_6821/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_8661/Drugs/Aminoglycosides/Aminoglycoside_efflux_pumps/RANB,0,0,0,0,0,0,0,0,10,0
MEG_2480/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/CZRB,0,0,0,0,0,0,0,0,0,34
MEG_6142/Drugs/Mycobacterium_tuberculosis-specific_Drug/Pyrazinamide-resistant_mutant/RPSA/RequiresSNPConfirmation,242,289,533,189,444,577,299,594,493,966
MEG_7038/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,155,113,126,140,152,139,92,171,130,177
MEG_3028/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSX,14,10,0,10,0,4,10,0,12,22
MEG_7144/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,32,41,12,20,6,20,20,66,0,10
