gene_accession,CAS05u_t2_M_AB,CAS04e_t2_M_AB,CAS01e_t2_M_AB,CAS03u_t2_M_AB,CAS02e_t2_M_AB,CAS04u_t2_M_AB,CAS03e_t2_M_AB,CAS05e_t2_M_AB,CAS01u_t2_M_AB,CAS02u_t2_M_AB
MEG_1215/Drugs/Bacitracin/Bacitracin_ABC_transporter/BCRC,0,0,0,0,0,0,0,16,0,0
MEG_7834/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/YHCN,0,0,0,0,0,0,0,1,0,0
MEG_17/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC2-PRIME,0,0,0,42,0,0,46,0,0,0
MEG_4101/Drugs/Multi-drug_resistance/Multi-drug_RND_efflux_pumps/MUXB,0,32,0,61,128,0,111,102,0,0
MEG_1276/Drugs/betalactams/Class_C_betalactamases/BLAEC,0,0,0,0,0,0,4,0,0,0
MEG_2831/Drugs/MLS/23S_rRNA_methyltransferases/ERMF,0,0,0,0,0,0,0,0,0,26
MEG_2316/Drugs/betalactams/Class_A_betalactamases/CTX,0,2,0,0,0,3,7,0,0,0
MEG_2626/Drugs/Trimethoprim/Dihydrofolate_reductase/DHFR/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,12
MEG_7230/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,16,4,10,10,13,6,12,28,12,18
MEG_2867/Biocides/Acid_resistance/Acid_resistance_regulator/EVGA,0,0,0,20,0,0,17,2,0,0
MEG_7225/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,18,18,22,12,32,26,28,44,42,42
MEG_951/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,3,4,0,0,0,0,0,0,0,0
MEG_7080/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETG,0,0,0,0,0,0,24,0,0,0
MEG_919/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,0,0,0,0,5,0
MEG_7086/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETH,26,53,29,15,34,26,44,75,41,32
MEG_8635/Drugs/Lipopeptides/Colistin-resistant_mutant/PMRAR/RequiresSNPConfirmation,0,0,0,0,0,0,0,16,0,0
MEG_2847/Drugs/MLS/23S_rRNA_methyltransferases/ERMT,18,10,8,25,0,12,0,5,29,4
MEG_7113/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,5,22,0,4,14,0,0,16,18,16
MEG_2125/Metals/Copper_resistance/Copper_resistance_protein/CRDB,0,0,0,0,0,0,0,0,0,30
MEG_5387/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,22,0,0,0,0,0,0,30,17
MEG_4194/Drugs/Metronidazole/nim_nitroimidazole_reductase/NIMJ,0,0,0,0,0,0,18,0,16,0
MEG_5850/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACK,0,0,0,6,12,0,0,14,16,14
MEG_6861/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_2688/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DSBA,4,0,0,2,2,0,4,6,0,0
MEG_8678/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/RPSL/RequiresSNPConfirmation,202,246,239,214,312,263,364,193,277,163
MEG_2083/Metals/Copper_resistance/Copper_resistance_regulator/COPZ,20,6,0,0,0,0,0,0,14,34
MEG_6094/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,98,84,103,78,96,148,282,130,145,86
MEG_7470/Drugs/Glycopeptides/VanC-type_regulator/VANRC,0,49,26,24,22,30,0,41,26,38
MEG_1099/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH9,0,86,112,22,92,0,90,82,0,62
MEG_8686/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/RSMA,26,4,4,40,20,20,18,26,28,10
MEG_7122/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,18,8,11,4,9,12,14,4,24,16
MEG_2807/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,2,2,0,2,0,0,4,4,0,0
MEG_2457/Metals/Copper_resistance/Copper_resistance_protein/CUTE,8,15,0,4,6,0,87,113,0,0
MEG_2802/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,0,0,0,0,0,4,4,2,0
MEG_6900/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,0
MEG_7271/Biocides/Phenolic_compound_resistance/Phenolic_RND_efflux_pump/TRIA,0,0,50,0,0,0,0,0,0,0
MEG_6122/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,35,46,47,38,64,81,148,63,80,22
MEG_5799/Multi-compound/Drug_and_metal_resistance/Drug_and_metal_MFS_efflux_pumps/PMRBM,0,0,18,0,0,0,0,0,24,0
MEG_915/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,8,4,0,0,0,0,0,0,0,0
MEG_413/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ACRR/RequiresSNPConfirmation,3,15,19,0,4,22,68,14,21,0
MEG_4170/Metals/Nickel_resistance/Nickel_ABC_efflux_pumps/NIKC,36,0,0,0,34,0,41,54,0,0
MEG_6125/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,292,411,251,247,405,558,505,479,422,439
MEG_2690/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DSBB,6,0,0,0,0,6,16,0,0,0
MEG_6798/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_6142/Drugs/Mycobacterium_tuberculosis-specific_Drug/Pyrazinamide-resistant_mutant/RPSA/RequiresSNPConfirmation,514,287,400,342,577,641,412,757,649,596
MEG_1085/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH6,4,14,5,0,19,20,3,11,32,73
MEG_5846/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACG,0,0,0,0,0,0,0,4,0,0
MEG_2596/Drugs/betalactams/Class_C_betalactamases/DHA,0,0,0,0,0,0,0,6,0,0
MEG_2798/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,0,0,0,18,0,0,22,32,0
MEG_2674/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DSBA,0,0,0,3,0,0,2,2,0,0
MEG_5358/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,34,0
MEG_5343/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,459,0,0,441,458,603,196,626,0
MEG_1592/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,0,0,0,0,0,4,0,7,0
MEG_6501/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/SILC,0,0,0,0,0,0,28,39,0,0
MEG_453/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,0,0,6,0,0
MEG_4348/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,0,8,36,0,0
MEG_6048/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/RCNA,0,0,0,0,0,0,20,9,0,0
MEG_4067/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRA,0,0,0,0,0,0,0,0,80,78
MEG_5771/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/PERO,0,0,0,54,0,0,0,0,110,0
MEG_7832/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/YGJH,0,0,0,0,0,0,12,18,0,0
MEG_409/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRF,40,0,0,38,0,0,96,58,0,0
MEG_6539/Biocides/Multi-biocide_resistance/Multi-biocide_MFS_efflux_pump/SMVA,0,0,0,0,0,0,35,56,0,0
MEG_2804/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,1,5,0,0,8,2,0,6,0,0
MEG_6830/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,0,0,0
MEG_2049/Metals/Copper_resistance/Copper_resistance_protein/COPC,0,1,0,0,0,0,0,0,0,0
MEG_7038/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,112,189,112,88,140,136,130,102,139,139
MEG_3255/Biocides/Acid_resistance/Acid_resistance_protein/HDEB,0,0,0,0,0,0,5,0,0,0
MEG_2450/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/CUSC,2,0,0,0,0,0,7,7,0,0
MEG_4349/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,0,4,0,0,0
MEG_3193/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,0,0,0,98,0,0
MEG_1171/Metals/Arsenic_resistance/Arsenic_resistance_regulator/ARSR,0,0,0,0,2,0,2,1,0,0
MEG_1247/Drugs/betalactams/Class_A_betalactamases/BLAA,0,0,24,0,0,0,0,0,24,0
MEG_3882/Metals/Mercury_resistance/Mercury_resistance_regulator/MERR,0,8,0,6,12,0,12,8,12,0
MEG_6016/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRE,0,0,0,0,0,0,2,0,6,0
MEG_2731/Drugs/Multi-drug_resistance/Multi-drug_SMR_efflux_regulator/EMRE,20,0,0,0,0,10,0,0,0,0
MEG_6101/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,113,66,77,93,93,105,115,108,94
MEG_4276/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/OLEC,0,0,0,0,0,0,0,0,120,0
MEG_6115/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,63,70,92,143,130,0,92,162,0,0
MEG_7856/Metals/Zinc_resistance/Zinc_resistance_protein/ZNUA,10,3,29,0,25,31,121,53,30,0
MEG_4102/Drugs/Multi-drug_resistance/Multi-drug_RND_efflux_pumps/MUXC,0,0,0,0,58,0,79,38,52,0
MEG_6104/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,222,0,242,0,0,321,308,268
MEG_1287/Drugs/betalactams/Penicillin_binding_protein_regulator/BLAI,0,0,0,8,0,0,0,0,0,0
MEG_6586/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,0,0,0,3,0,0,0
MEG_407/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/ACRD,0,20,0,0,25,0,98,89,30,0
MEG_7813/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/YCHH,3,3,0,0,0,0,2,25,0,0
MEG_4094/Drugs/Fosfomycin/Fosfomycin_target_mutation/MURA/RequiresSNPConfirmation,0,0,0,0,18,0,0,0,42,48
MEG_5394/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PAREF/RequiresSNPConfirmation,84,108,73,130,179,96,150,94,133,145
MEG_4353/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,0,8,9,0,0
MEG_7132/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,23,48,60,59,115,49,40,88,54,26
MEG_2445/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/CUID,0,12,0,0,18,0,38,19,0,0
MEG_1113/Drugs/betalactams/Class_A_betalactamases/ARL,0,0,0,0,0,0,0,0,18,0
MEG_6576/Biocides/Multi-biocide_resistance/Multi-biocide_SMR_efflux_pump/SUGE,0,1,0,0,0,0,9,3,0,0
MEG_2707/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_ABC_efflux_pumps/EFRB,0,24,0,0,28,14,42,48,70,32
MEG_6127/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,0,0,59,0,0,0,0,0
MEG_3442/Drugs/Aminoglycosides/16S_rRNA_methyltransferases/KAMB,0,0,0,0,0,0,34,0,72,0
MEG_3989/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,0,0,143,0,162,211,133,180,228,199
MEG_6890/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_6931/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,2,0
MEG_1924/Drugs/betalactams/Class_C_betalactamases/CMY,0,0,0,0,0,0,0,2,0,0
MEG_7117/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,12,14,13,4,18,13,0,6,14,18
MEG_8448/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,28
MEG_3901/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXB,0,0,0,0,10,0,0,0,0,0
MEG_7198/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETS,0,0,7,0,0,0,0,0,0,0
MEG_6807/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,2,0,0,0,0
MEG_1620/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,5,23,6,18,8,15,15,21,39,8
MEG_137/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,0,0,0,0,12,0
MEG_1293/Drugs/betalactams/Class_A_betalactamases/BLAP,0,0,0,0,0,0,0,0,0,14
MEG_2568/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRB,0,0,0,4,10,0,0,0,0,4
MEG_421/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,0,12,28,0,0
MEG_4340/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,0,23,0,0,0
MEG_757/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT2-DPRIME,0,0,0,0,0,0,2,0,0,0
MEG_6174/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SDEX,0,0,0,0,8,0,0,0,0,0
MEG_3214/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,288,250,237,332,288,345,253,249,398,301
MEG_7245/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETY,52,59,36,0,62,80,36,33,51,258
MEG_7868/Metals/Zinc_resistance/Zinc_resistance_regulator/ZUR,2,4,0,0,4,0,10,7,0,0
MEG_1323/Drugs/betalactams/Class_A_betalactamases/BLAZ,0,0,0,0,0,0,0,0,20,0
MEG_1142/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSA,68,0,0,0,0,0,56,76,0,0
MEG_7084/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETH,23,56,30,13,57,45,91,57,39,31
MEG_3535/Drugs/betalactams/Class_A_betalactamases/LAP,0,4,0,0,0,0,0,0,0,0
MEG_8443/Drugs/Pleuromutilin/Pleuromutilin-resistant_23S_rRNA_mutation/P23S/RequiresSNPConfirmation,203,128,101,263,228,170,153,217,394,268
MEG_1713/Metals/Chromium_resistance/Chromium_resistance_protein/CHRC,0,0,0,0,0,0,10,0,14,0
MEG_3747/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/MDTB,32,32,78,0,71,90,414,156,131,48
MEG_5323/Drugs/Pleuromutilin/Pleuromutilin-resistant_23S_rRNA_mutation/P23S/RequiresSNPConfirmation,0,0,0,0,44,0,29,35,60,29
MEG_4378/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/OTRA,0,0,0,0,0,0,0,68,0,0
MEG_3243/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,170,80,110,150,214,186,174,189,156,0
MEG_1261/Drugs/betalactams/Class_B_betalactamases/BLAB,0,0,0,10,0,0,0,0,0,0
MEG_7044/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,149,241,123,147,232,217,237,157,266,208
MEG_2448/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/CUSC,0,0,0,0,0,0,22,6,0,0
MEG_8080/Drugs/Lipopeptides/Colistin_phosphoethanolamine_transferase/EPTB,0,9,29,0,21,0,135,133,39,10
MEG_6119/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,150,0,0,130,0,0,133,108,207,196
MEG_6129/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,114,111,0,143,191,172,96,151,126
MEG_7452/Drugs/Glycopeptides/VanA-type_regulator/VANRA,0,0,0,0,0,0,14,0,0,0
MEG_7309/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,194,294,168,264,270,246,429,260,300,279
MEG_6181/Drugs/betalactams/Class_B_betalactamases/SFB,0,0,0,0,0,0,14,0,0,0
MEG_6669/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,10,0
MEG_7536/Drugs/Glycopeptides/VanL-type_resistance_protein/VANTRL,0,0,0,0,0,0,0,0,14,0
MEG_2689/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DSBB,6,0,0,0,0,0,16,10,0,0
MEG_4343/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,0,0,8,0,0
MEG_4061/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/MSBA,36,44,46,0,47,57,163,135,58,0
MEG_174/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,0,11,0,0,9,0
MEG_7051/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,128,203,117,124,166,180,172,143,190,175
MEG_8708/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,2,0
MEG_8287/Drugs/betalactams/Mutant_porin_proteins/OMP36/RequiresSNPConfirmation,0,0,0,0,0,0,28,8,0,0
MEG_5370/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,141,0
MEG_5781/Drugs/Phenicol/Phenicol-resistant_23S_rRNA_mutation/PH23S/RequiresSNPConfirmation,0,0,0,0,0,13673,0,0,0,0
MEG_6053/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/RECGM,0,0,0,0,48,0,53,74,0,0
MEG_5300/Drugs/betalactams/Class_A_betalactamases/OXY,0,0,0,0,0,0,0,2,0,0
MEG_5379/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,35,24,0,0,33,23,47,32,37,46
MEG_7111/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,37,32,34,54,24,29,17,26,35,31
MEG_6951/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,0,0,0,0
MEG_6112/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,147,105,95,120,118,122,147,86,125,135
MEG_1087/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH6,3,6,4,1,16,23,3,5,10,39
MEG_6712/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_414/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ACRR/RequiresSNPConfirmation,0,0,0,0,0,0,0,27,0,0
MEG_988/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT6,0,0,44,108,74,0,0,0,0,0
MEG_5377/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,72,0,0,0,0,102,0
MEG_7825/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/YFEC,92,146,90,158,223,76,144,126,108,164
MEG_3209/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,142,147,91,101,92,121,134,173,174,171
MEG_6958/Metals/Tellurium_resistance/Tellurium_resistance_protein/TERD,10,0,12,0,8,0,0,12,26,0
MEG_1564/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,4,0,0,0,0,0,0,0,0
MEG_1731/Drugs/Lipopeptides/Daptomycin-resistant_mutant/CLS/RequiresSNPConfirmation,0,0,20,0,0,0,0,0,0,58
MEG_8095/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSY,0,0,12,0,0,0,0,0,0,8
MEG_6045/Drugs/Multi-drug_resistance/Multi-drug_RND_efflux_regulator/RAMR/RequiresSNPConfirmation,0,0,0,0,0,0,0,17,0,0
MEG_6155/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/RUVBM,0,6,0,0,0,0,0,4,0,0
MEG_8418/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,0,16,12
MEG_6891/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,2,0
MEG_1587/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,0,0,0,0,0,0,0,10,0
MEG_998/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT6,68,0,0,0,52,0,44,0,76,32
MEG_10/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,689,516,410,618,665,684,490,613,835,794
